ticker,origem,setor,investment,quality,value,safety,dividend,rank_invest,oportunidade_grafica,pl,pvp,dy,roe,roic,div_liq_ebitda,liq_corr,div_patrim,peg,close,strategy,trend,breakout_level,pct_to_level,vol_ratio,dist_52w_high_pct,fund_ok,breakout,aprovado,note
VULC3,SMALL11,Consumer Cyclical,78.4,90.25,48.1,87.47,99.24,1,Não,3.96,1.8,28.57,45.47,17.72,,2.95,0.42,,13.800000190734863,,Em Baixa,14.5,-4.8275848914837045,0.8067631497914509,-31.783617677601317,True,False,False,sem sinal (-4.8% do topo; Em Baixa)
VLID3,SMALL11,Industrials,73.57,66.84,71.94,81.03,82.58,2,Rompimento,6.03,0.86,9.39,14.22,15.05,,2.32,0.43,,18.700000762939453,Rompimento,Em Alta,18.40999984741211,1.5752358388428256,0.7490385359935988,-18.9723148118655,True,True,True,Rompimento
PLPL3,SMALL11,Real Estate,73.55,80.88,73.59,64.11,68.94,3,Não,4.26,1.34,7.02,31.56,29.38,,2.87,1.28,,7.010000228881836,,Em Baixa,8.300000190734863,-15.542167857936084,0.902194329293153,-59.667753515463076,True,False,False,sem sinal (-15.5% do topo; Em Baixa)
TGMA3,SMALL11,Industrials,71.68,79.12,45.32,84.34,90.15,4,Rompimento,7.97,2.04,12.52,25.55,27.01,,2.22,0.23,0.34,34.41999816894531,Rompimento,Em Alta,31.489999771118164,9.304536103917238,2.3492936835440275,-15.822942815550755,True,True,True,Rompimento
LAVV3,SMALL11,Real Estate,71.37,75.23,49.9,77.6,96.97,5,Não,5.1,1.48,24.84,29.03,9.91,,4.22,0.85,,10.40999984741211,,Em Baixa,11.289999961853027,-7.794509454510957,0.40995515788813514,-45.15279189419018,True,False,False,sem sinal (-7.8% do topo; Em Baixa)
POMO4,BOVA11,Industrials,71.18,81.05,54.26,61.1,95.45,6,Não,5.59,1.58,17.58,28.32,18.39,,1.97,0.84,0.24,4.809999942779541,,Em Baixa,5.639999866485596,-14.716311052383857,3.8822864485549986,-39.50409920702425,True,False,False,sem sinal (-14.7% do topo; Em Baixa)
RECV3,BOVA11,Energy,70.93,57.91,77.31,68.02,92.42,7,Não,5.67,0.72,13.21,12.74,9.37,,2.18,0.77,,10.270000457763672,,Em Alta,10.890000343322754,-5.693295372017482,0.3991824608350278,-27.882235401988563,True,False,False,sem sinal (-5.7% do topo; Em Alta)
BRSR6,SMALL11,Financial Services,70.35,50.75,84.28,,88.26,8,Pivô de alta,3.63,0.51,11.29,13.99,0.0,,,,,14.15999984741211,Pivô de alta,Em Alta,14.470000267028809,-2.1423663710847585,1.4728388985312022,-23.968954974810597,True,True,True,Pivô de alta
AZZA3,BOVA11,Consumer Cyclical,70.07,43.39,84.72,76.88,93.94,9,Não,4.03,0.42,15.25,10.39,7.75,,2.2,0.49,,16.139999389648438,,Em Baixa,19.219999313354492,-16.02497416098241,0.6285486923606332,-53.85128519147116,True,False,False,sem sinal (-16.0% do topo; Em Baixa)
GRND3,SMALL11,Consumer Cyclical,69.83,66.17,50.35,82.8,100.0,10,Não,5.3,1.06,41.34,19.96,7.6,,2.05,0.02,,3.680000066757202,,Em Baixa,3.9000000953674316,-5.641026236680191,0.5431217900149019,-25.988800579029835,True,False,False,sem sinal (-5.6% do topo; Em Baixa)
CURY3,SMALL11,Real Estate,69.58,90.51,35.88,65.79,93.18,11,Não,9.1,6.27,13.35,68.95,37.57,,1.94,0.71,0.27,31.59000015258789,,Em Baixa,33.59000015258789,-5.95415299468498,0.6391760782987143,-23.03719460312219,True,False,False,sem sinal (-6.0% do topo; Em Baixa)
JHSF3,SMALL11,Real Estate,68.49,83.66,57.0,63.93,62.12,12,Não,3.98,1.08,6.04,27.12,12.14,,1.92,0.74,0.77,10.989999771118164,,Em Baixa,11.33961009979248,-3.0830895030572014,0.3659423336614514,-22.35245300984857,True,False,False,sem sinal (-3.1% do topo; Em Baixa)
EZTC3,SMALL11,Real Estate,67.65,55.69,56.49,92.99,84.09,13,Não,5.65,0.62,10.06,10.89,5.88,,8.52,0.33,0.2,11.300000190734863,,Em Baixa,13.0,-13.076921609731817,0.4984746988709627,-31.892429736100492,True,False,False,sem sinal (-13.1% do topo; Em Baixa)
WIZC3,SMALL11,Financial Services,67.05,84.6,43.75,,72.73,14,Não,6.77,1.91,7.64,28.26,34.87,,,,,8.229999542236328,,Lateral,8.520000457763672,-3.4037664312926985,0.9633078619644886,-17.803180602458657,True,False,False,sem sinal (-3.4% do topo; Lateral)
PETR4,BOVA11,Energy,67.03,82.65,69.89,34.52,68.18,15,Não,5.16,1.25,6.9,24.17,16.79,,0.74,0.83,,42.56999969482422,,Em Alta,43.04999923706055,-1.1149815348268532,0.6141399829152128,-13.401561801190509,True,False,False,sem sinal (-1.1% do topo; Em Alta)
CYRE3,BOVA11,Consumer Cyclical,66.59,61.67,53.27,80.89,85.61,16,Não,4.93,0.92,10.75,18.6,6.91,,3.78,0.75,,21.510000228881836,,Em Baixa,22.959999084472656,-6.315326277915323,0.3057034044167466,-40.27513055823297,True,False,False,sem sinal (-6.3% do topo; Em Baixa)
LREN3,BOVA11,Consumer Cyclical,66.17,70.01,57.65,72.4,65.91,17,Não,9.34,1.35,6.58,14.41,23.76,,1.78,0.28,0.4,13.859999656677246,,Em Baixa,14.289999961853027,-3.0090994144412964,0.3510442272256908,-19.983328489628207,True,False,False,sem sinal (-3.0% do topo; Em Baixa)
DIRR3,SMALL11,Real Estate,66.16,74.09,43.7,66.85,91.67,18,Não,7.3,2.87,13.19,39.35,10.1,,4.26,1.3,0.25,11.699999809265137,,Em Baixa,12.989999771118164,-9.930715816648439,0.4377777871753775,-32.20486497008408,True,False,False,sem sinal (-9.9% do topo; Em Baixa)
CEAB3,SMALL11,Consumer Cyclical,66.03,63.6,80.84,56.14,55.3,19,Não,5.16,0.81,5.33,15.79,14.68,,1.67,0.74,,9.760000228881836,,Em Baixa,10.479999542236328,-6.870222755762178,0.7733800208474594,-45.99996903973109,True,False,False,sem sinal (-6.9% do topo; Em Baixa)
INTB3,SMALL11,Industrials,65.56,72.94,42.37,88.0,64.77,20,Rompimento,8.06,1.46,6.25,18.07,17.52,,2.64,0.26,0.56,14.880000114440918,Rompimento,Lateral,14.384364128112793,3.4456579513268526,0.6894183542789591,-4.975091345719996,True,True,True,Rompimento
PETR3,BOVA11,Energy,64.7,82.65,64.4,34.52,63.64,21,Não,5.82,1.41,6.11,24.17,16.79,,0.74,0.83,,48.029998779296875,,Em Alta,48.70000076293945,-1.3757740721689005,1.464355180240822,-12.053578339064874,True,False,False,sem sinal (-1.4% do topo; Em Alta)
ENJU3,SMALL11,Consumer Cyclical,63.41,6.72,94.06,90.36,98.48,22,Não,-8.51,0.5,27.62,-5.92,-14.95,,2.42,0.03,-2.75,0.7599999904632568,,Em Baixa,0.9900000095367432,-23.232324935139314,0.44984832215313136,-28.95697958964646,True,False,False,sem sinal (-23.2% do topo; Em Baixa)
VIVA3,BOVA11,Consumer Cyclical,62.67,78.42,37.93,90.23,38.64,23,Não,9.22,1.78,3.05,19.31,17.48,,4.14,0.41,,22.670000076293945,,Em Baixa,23.520000457763672,-3.6139471297890746,0.47039252787374586,-36.83740695398845,True,False,False,sem sinal (-3.6% do topo; Em Baixa)
FESA4,SMALL11,Basic Materials,62.58,31.76,64.18,94.0,89.39,24,Rompimento,13.26,0.65,11.57,4.93,4.41,,3.27,0.12,,6.190000057220459,Rompimento,Lateral,6.099999904632568,1.475412360573003,0.8643793255779708,-30.449434578260558,True,True,True,Rompimento
KEPL3,SMALL11,Industrials,62.26,68.03,45.33,73.7,67.42,25,Não,7.73,1.44,6.8,18.67,13.9,,2.02,0.42,,6.380000114440918,,Em Baixa,6.579999923706055,-3.039510814348012,0.6421717495758301,-39.23809414818174,True,False,False,sem sinal (-3.0% do topo; Em Baixa)
LEVE3,SMALL11,Consumer Cyclical,61.83,85.53,46.62,28.72,81.06,26,Rompimento,6.6,4.09,8.82,62.01,33.17,,1.37,1.44,0.19,32.40999984741211,Rompimento,Em Baixa,32.34000015258789,0.21644927178090523,0.4046669620440112,-10.494336738854104,True,True,True,Rompimento
