ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
VTRU3,SMALL11,SMALL11,Consumo discricionário,77.12,73.08,100.0,,,0.9,P/L=1.71<2,88.84,88.36,51.25,7.64,1,Não,7,7,True,,True,,,True,True,True,True,5,5,True,True,True,True,True,,True,True,True,,True,2041439488.0,1.71,0.51,0.2,0.21,29.95,14.79,48.63,,2.13,0.76,,12.529999732971191,0.18413068655482406,0.34156242355919864,97.08917921746682,63.64425066436024,219.82455671879285,,,,2,False,1193.9,,,n/d,2026-05-04,última,,,False,False,,,Em Baixa,13.119999885559082,-4.496952421754907,-27.77224509704489,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.5%))
JHSF3,SMALL11,SMALL11,Imobiliário,76.15,74.88,83.33333333333333,,,0.8,,84.71,79.23,49.68,70.14,2,Não,5,7,False,,True,,False,True,True,True,True,5,6,True,True,True,True,False,,True,False,True,,True,7007144448.0,3.85,1.04,6.24,7.77,27.12,12.14,53.01,,1.92,0.74,0.26,10.510000228881836,5.835602771831755,10.825043141747903,36.17078000848943,24.914200211731185,62.16842655555119,,,,4,False,10.7,,,n/d,2026-07-31,última,,,False,False,,,Lateral,11.33961009979248,-7.316035239393514,-25.743784365527656,True,False,False,sem sinal (Lateral; sem novo topo (-7.3%))
VULC3,SMALL11,SMALL11,Consumo discricionário,76.02,77.67,66.66666666666667,,,0.9,,88.41,59.38,67.29,95.83,3,Não,5,7,False,,True,,False,True,True,False,True,4,6,True,True,True,True,False,,True,False,True,,True,4372451840.0,4.8,1.68,28.86,15.46,35.06,17.83,24.89,,2.96,0.37,0.53,13.920000076293945,15.369077519984064,28.509638799570435,38.42500021060307,23.25172817382101,71.06289655812743,35.3236682524212,28.509638799570435,25.658674919613393,5,True,4.6,84.32956019382974,153.76198318115067,n/d,2025-12-23,última,,,False,False,,,Em Baixa,14.5,-3.9999994738348588,-31.19043231826789,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.0%))
POMO3,SMALL11,SMALL11,Bens Industriais,75.22,73.79,83.33333333333333,,,0.7,,81.42,74.08,48.36,89.58,4,Não,4,7,False,,True,,False,True,True,True,True,5,6,True,True,True,False,False,,True,False,True,,True,5176639488.0,4.38,1.24,22.43,11.85,28.32,18.39,13.81,,1.97,0.84,0.32,4.170000076293945,3.5292356159979987,6.546732067676288,12.614726258195153,8.487492902962074,24.250140690105866,7.794546711207879,7.517112485319181,6.765401236787263,4,True,6.9,62.239834844318764,86.91958198080468,n/d,2026-04-27,última,,,False,False,,,Em Baixa,4.989999771118164,-16.432860369459945,-38.138661806726226,True,False,False,sem sinal (Em Baixa; sem novo topo (-16.4%))
ABCB2,SMALL11,SMALL11,Produtos financeiros,73.94,78.17,50.0,,,0.4,,78.17,,,,5,Não,1,3,False,,,,,True,,False,,1,2,True,False,,,False,,,,True,,True,,,0.0,,,14.9,,40.92,,,,,,,,,,,,,,0,True,,,,n/d,n/d,,,,False,False,,,,,,,False,False,False,histórico insuficiente
POMO4,BOVA11+SMALL11,BOVA11,Bens Industriais,73.9,72.24,83.33333333333333,,,0.7,,81.42,71.51,48.36,80.56,6,Não,4,7,False,,True,,False,True,True,True,True,5,6,True,True,True,False,False,,True,False,True,,True,5549059072.0,4.71,1.33,20.89,9.47,28.32,18.39,13.81,,1.97,0.84,0.31,4.46999979019165,3.0238309118500553,5.609206341481853,12.574840174106022,8.471542379179985,23.223700556003298,8.885196298255954,8.471542379179985,7.624388141261987,3,True,7.7,70.56797537198749,98.77397573378863,n/d,2026-04-27,última,,,False,False,,,Em Baixa,5.380000114440918,-16.91450380840436,-43.78031869667932,True,False,False,sem sinal (Em Baixa; sem novo topo (-16.9%))
MDNE3,SMALL11,SMALL11,Imobiliário,73.85,72.18,83.33333333333333,,,0.8,,73.47,71.88,66.15,79.17,7,Não,6,7,False,,True,,False,True,True,True,True,5,6,True,True,True,True,True,,True,False,True,,True,2561720064.0,5.12,1.23,15.58,9.21,23.93,11.1,19.89,,2.78,0.43,0.4,24.700000762939453,16.245721707824917,30.13581376801522,63.920900411903844,46.68750756414352,105.4390366826266,61.545814606672295,55.30420398802369,49.77378358922132,4,True,6.5,101.51328765909695,149.17333079202692,n/d,2026-01-02,última,,,False,False,,,Em Baixa,25.399999618530273,-2.7559010476525536,-27.94631959597147,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.8%))
PSSA3,BOVA11,BOVA11,Insurance,73.05,71.82,80.0,,1.8,0.3,,76.67,48.71,100.0,51.39,8,Não,4,6,False,,True,,False,True,,True,True,4,5,True,False,True,,True,,True,False,True,,True,31998334976.0,8.85,2.02,5.98,5.33,22.84,79.28,8.34,,,,0.73,49.91999816894531,19.014995597402464,35.272816833181565,74.73898030943789,56.00392943581219,98.11094912207871,43.008930913340635,35.272816833181565,31.74553514986341,3,True,3.9,-36.40717885760668,-13.844285875603212,2026-11-05,2026-06-23,última,,,False,False,,,Em Baixa,55.45000076293945,-9.972953143203867,-10.135015563347016,True,False,False,sem sinal (Em Baixa; sem novo topo (-10.0%))
MILS3,SMALL11,SMALL11,Bens Industriais,71.92,69.9,83.33333333333333,,,0.7,,86.2,56.55,57.45,54.86,9,Não,5,7,False,,True,,False,True,True,True,True,5,6,True,True,True,True,False,,True,False,True,,True,3549634048.0,8.14,1.94,6.81,5.73,23.81,20.65,23.53,,2.98,0.99,0.64,15.579999923706055,6.3782923747631095,11.831732355185567,25.36056498637656,18.597117835022043,35.28109300264827,22.76762704480811,21.978841410699303,19.780957269629372,4,True,5.5,26.963782840147953,46.133678795245544,n/d,2026-04-22,última,,,False,False,,,Em Alta,15.8100004196167,-1.4547785566486504,-2.2584671653334443,True,False,False,sem sinal (Em Alta; sem novo topo (-1.5%))
CURY3,BOVA11+SMALL11,BOVA11,Consumo discricionário,70.26,67.95,83.33333333333333,,,0.9,,90.44,36.24,49.3,83.33,10,Não,5,7,False,,True,,False,True,True,True,True,5,6,True,True,True,True,False,,True,False,True,,True,9555636224.0,9.07,6.25,13.38,9.82,68.95,37.57,18.37,,1.94,0.71,1.21,31.020000457763672,21.765104810963514,40.37426942433732,45.31587718471539,19.542917863386712,59.31053906090416,37.26174166886142,40.37426942433732,36.33684248190359,5,True,3.0,17.140044957056787,20.121667050251666,n/d,2026-05-18,última,,,False,False,,,Em Baixa,32.029998779296875,-3.1532886669544014,-24.425886447919233,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.2%))
