ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,ev_ebitda,div_liq_ebitda,liq_corr,div_patrim,peg,payout,cresc_5a,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,beta,corr_ibov,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
JHSF3,SMALL11,SMALL11,Imobiliário,79.42,77.55,90.0,,,0.8,,87.92,80.21,54.59,70.14,1,Não,6,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,False,True,True,False,True,0.18,True,7047147008.0,3.39,0.96,6.38,7.77,28.4,13.12,53.01,4.59,0.74,1.92,0.74,0.23,26.35,5.2,0.72,61.6,36.26,4.9,13.85,115.8,-23.7,-3.4,1.33,0.6,10.569999694824219,5.868664054056973,10.886371820275684,41.31342063611235,27.792701831362184,71.00628087880852,19.691715430840507,37.72772752429883,16.363628712069787,,,,6,False,12.1,,,n/d,2026-08-31,próxima,,,False,False,,,Em Baixa,11.149999618530273,-5.201793215688976,-25.31987578865571,True,False,False,sem sinal (Em Baixa; sem novo topo (-5.2%))
VULC3,SMALL11,SMALL11,Consumo discricionário,76.1,77.18,70.0,,,0.9,,88.59,58.65,65.35,95.83,2,Não,6,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,True,False,True,True,False,True,0.23,True,4190266624.0,4.73,1.66,29.32,15.46,35.06,17.83,24.89,6.33,0.76,2.96,0.37,0.5,73.1,-64.7,1.64,37.42,62.57,13.34,20.08,0.0,-33.6,-12.3,0.88,0.57,13.34000015258789,14.7265478154392,27.31774619763972,37.368922203338165,22.582003959450553,70.18388178639383,44.678371093524156,24.251573698603664,7.899524500312151,,,,6,False,8.9,,,n/d,2025-12-23,última,,,False,False,,,Em Baixa,14.180000305175781,-5.923837337868642,-34.057497245488555,True,False,False,sem sinal (Em Baixa; sem novo topo (-5.9%))
POMO3,SMALL11,SMALL11,Bens Industriais,75.84,75.11,80.0,,,0.7,,81.54,75.79,52.21,90.28,3,Não,5,8,False,,True,,False,False,True,True,True,True,8,10,True,True,True,False,False,True,True,False,True,0.37,True,4853875200.0,4.17,1.18,23.54,11.85,28.32,18.39,13.81,4.47,1.06,1.97,0.84,0.29,49.42,23.0,1.02,59.93,39.42,3.91,6.69,0.0,-41.5,-29.8,0.89,0.45,3.9100000858306885,3.309760694909064,6.139606089056313,12.423861183994392,8.361014851172397,24.54361239381543,11.083814803652986,10.947651353215521,4.935040019016474,8.981831383351347,9.65433310219396,8.688899791974563,6,True,7.4,122.22249619538275,129.71435258787562,n/d,2026-04-27,última,,,False,False,,,Em Baixa,4.989999771118164,-21.643281259018345,-41.995723448458854,True,False,False,sem sinal (Em Baixa; sem novo topo (-21.6%))
MDNE3,SMALL11,SMALL11,Imobiliário,75.23,72.62,90.0,,,0.8,,73.15,75.07,65.45,78.47,4,Não,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,0.21,True,2400964352.0,4.5,1.1,16.06,9.23,24.38,10.98,19.89,4.34,0.7,2.78,0.43,0.32,41.52,87.7,1.12,72.76,27.27,18.83,34.28,23.0,-32.5,-18.2,1.62,0.63,23.149999618530273,15.256073851720762,28.300016994942013,68.16388776567247,49.35596502302762,120.81286309016419,22.37884969796432,59.84842961224661,38.1680920717262,44.36920686092987,43.762028547376914,39.38582569263922,6,True,7.9,70.13315914317806,91.65964402614857,n/d,2026-01-02,última,,,False,False,,,Em Baixa,25.399999618530273,-8.858267849573265,-32.46791002655599,True,False,False,sem sinal (Em Baixa; sem novo topo (-8.9%))
POMO4,BOVA11+SMALL11,BOVA11,Bens Industriais,74.55,73.59,80.0,,,0.7,,81.54,73.59,52.21,80.56,5,Não,5,8,False,,True,,False,False,True,True,True,True,8,10,True,True,True,False,False,True,True,False,True,0.37,True,5164225024.0,4.46,1.26,22.06,9.47,28.32,18.39,13.81,4.69,1.06,1.97,0.84,0.3,42.25,23.0,1.02,59.93,39.42,4.16,7.92,0.0,-47.5,-29.0,0.94,0.49,4.159999847412109,2.8146932195246688,5.22125592221826,12.358743941302789,8.323996172371876,22.82639075886256,11.246396516357608,11.286098240736889,4.932709596258084,,,,7,False,8.1,,,n/d,2026-04-27,última,,,False,False,,,Em Baixa,5.380000114440918,-22.676584406645304,-47.67921898334214,True,False,False,sem sinal (Em Baixa; sem novo topo (-22.7%))
PSSA3,BOVA11,BOVA11,Insurance,73.31,73.01,75.0,,1.8,0.3,,76.73,53.35,100.0,51.39,6,Não,4,6,False,,True,,False,False,True,,True,True,6,8,True,False,True,,True,,True,False,True,,True,29620254720.0,8.21,1.87,6.44,5.33,22.84,79.28,8.34,,,,,0.64,43.79,3.6,,71.59,28.18,43.07,55.45,7.3,-16.7,-9.1,0.74,0.49,46.209999084472656,17.60677506410171,32.66056774390867,74.57764773072626,55.94159401823175,102.27928859909404,48.12658304814284,60.453917875146104,,43.24289339671987,40.39357539602575,36.354217856423176,4,True,4.2,-21.328243720656538,-6.420917001813542,2026-11-05,2026-06-23,última,,,False,False,,,Em Baixa,55.18000030517578,-16.255891937466615,-16.813681873746354,True,False,False,sem sinal (Em Baixa; sem novo topo (-16.3%))
CURY3,BOVA11+SMALL11,BOVA11,Consumo discricionário,70.87,69.26,80.0,,,0.9,,90.38,35.41,57.02,83.33,7,Não,6,8,False,,True,,False,False,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,-0.2,True,9762028544.0,9.08,6.03,12.95,9.82,66.38,37.72,18.37,5.86,-0.2,1.94,0.71,1.27,89.2,33.5,0.91,70.61,24.44,27.53,40.96,15.1,-22.6,-1.7,1.29,0.59,31.690000534057617,22.236733382500827,41.24914042453903,46.24366818020521,20.314770727112638,59.307353955927915,50.5486211203736,25.051410303210492,22.280815020364088,35.90406413927923,33.15027536387476,29.835247827487287,8,True,2.9,-5.852801121214901,13.29777069802416,n/d,2026-05-18,última,,,False,False,,,Em Baixa,32.400001525878906,-2.1913609826659686,-22.793563395097717,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.2%))
MILS3,SMALL11,SMALL11,Bens Industriais,70.4,68.7,80.0,,,0.7,,85.68,53.51,56.41,54.86,9,Não,6,8,False,,True,,False,True,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,0.69,True,3551912448.0,8.16,1.94,6.79,5.73,23.81,20.65,23.53,4.85,1.28,2.98,0.99,0.64,46.73,21.3,0.54,61.6,38.32,10.19,15.81,53.0,-1.4,9.3,0.76,0.48,15.59000015258789,6.376650116708103,11.82868596649353,25.31464485561146,18.58623543595959,35.17434475427785,12.499649759819723,20.336677691207388,17.8369811871301,20.22531709292852,18.58623543595959,16.727611892363633,7,True,5.5,7.297060478776851,29.732629217269,n/d,2026-04-22,última,,,False,False,,,Em Alta,15.8100004196167,-1.3915260037301258,-2.1957304705712777,True,False,False,sem sinal (Em Alta)
BRSR6,SMALL11,SMALL11,Produtos financeiros,69.84,71.13,62.5,17.35,,0.4,,47.99,91.14,90.71,86.11,11,Não,2,6,False,,True,,False,False,True,,False,True,5,8,False,False,False,,False,,True,True,True,,True,5382104064.0,3.56,0.47,11.91,10.16,13.26,0.0,22.75,,,,,0.42,36.16,-8.3,,93.0,6.99,9.68,18.55,36.0,-29.0,-11.6,1.04,0.6,13.15999984741211,9.548194071489835,17.711900002613646,48.98033651073327,48.25843294688045,68.84111313735544,31.338417633394876,29.544560133481873,,32.6768847155806,31.338417633394876,28.20457587005539,3,True,5.1,114.32048781977583,148.3045979822443,n/d,2026-06-15,última,,,False,False,,,Em Baixa,14.380000114440918,-8.484007352709543,-29.338379116371215,True,False,False,sem sinal (Em Baixa; sem novo topo (-8.5%))
PETR4,BOVA11,BOVA11,Energia,69.45,74.65,40.0,,,0.9,DY5a=39.1%>=20,87.58,83.53,34.46,,12,Pivô de alta,7,8,False,,True,,False,False,True,True,True,False,4,10,True,True,True,True,True,True,True,False,True,1.06,True,576189169664.0,4.05,1.12,7.09,39.11,27.73,19.69,24.32,2.65,1.29,0.85,0.76,0.27,158.4,96.8,0.28,65.87,33.99,27.61,48.52,52.7,-13.1,-1.9,0.37,0.25,42.16999816894531,117.80754714553031,218.53299995495874,137.963574256426,93.92005068397489,312.37035680700234,199.56995018225146,125.98937724549094,59.494936769396226,158.20609913062887,131.97647575095846,118.77882817586261,8,True,5.3,181.66666666666663,275.16268911563407,n/d,2026-08-24,próxima,"A Petrobras (PETR4) apresenta uma sólida combinação de alta qualidade e preço atrativo, evidenciada por um ROE de 27,7% e um ROIC de 19,7% que se posicionam bem acima das médias do setor de 16,2% e 13,8%, respectivamente, enquanto múltiplos como o P/L de 4,05 e o P/VP de 1,12 sugerem que essa forte rentabilidade convive com um valuation descontado. Essa eficiência operacional é acompanhada por uma estrutura de capital equilibrada, onde a relação dívida líquida sobre EBITDA de 1,29 está abaixo da média setorial de 1,71, indicando que a expressiva rentabilidade da companhia não é obtida à custa de um endividamento excessivo. O dividend yield de 7,09% mostra-se sustentável e coerente com a robusta geração de lucros e a desalavancagem financeira, embora o indicador de liquidez corrente de 0,85 demande atenção no curto prazo. No quesito crescimento, a empresa supera largamente seus pares com um CAGR de receita em 5 anos de 96,8% frente aos 64,0% do setor, o que corrobora o excelente desempenho do seu checklist de critérios, no qual a petroleira atendeu a 7 dos 8 requisitos avaliados, falhando apenas na questão das transações de insiders. Sob a ótica do valuation, as estimativas de preço-teto revelam uma dispersão relevante entre os métodos, variando desde os mais conservadores R$ 93,92 de Graham e R$ 117,81 de Bazin até os R$ 312,37 de Lynch, resultando em uma média de R$ 158,21 e uma mediana de R$ 131,98. Tomando como referência o preço-teto ajustado com margem de segurança de R$ 118,78, o papel oferece um expressivo potencial de valorização de 181,7% em relação à cotação atual de R$ 42,17, em um momento técnico favorável marcado por tendência de alta e pivô de alta gráfico. Em suma, os prós da tese concentram-se no forte crescimento histórico, na rentabilidade muito acima da média setorial, no endividamento controlado e no elevado desconto patrimonial, enquanto os contras residem na liquidez corrente abaixo de 1,0, nas vendas de ações por insiders e no score de segurança moderado de 34,0.",Pivô de alta,False,False,,,Em Alta,43.04999923706055,-2.044137244392019,-14.215268817083803,True,True,True,Pivô de alta
